,Movie,Score,Year,Director,Cast,Link
61,El resplandor,8.4,1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",https://imbd.com/title/tt0081505/
62,El gran dictador,8.4,1940,Charles Chaplin,"Charles Chaplin, Paulette Goddard",https://imbd.com/title/tt0032553/
63,Testigo de cargo,8.4,1957,Billy Wilder,"Tyrone Power, Marlene Dietrich",https://imbd.com/title/tt0051201/
64,Vengadores: Infinity War,8.4,2018,Anthony Russo,"Robert Downey Jr., Chris Hemsworth",https://imbd.com/title/tt4154756/
65,Aliens: El regreso,8.3,1986,James Cameron,"Sigourney Weaver, Michael Biehn",https://imbd.com/title/tt0090605/
66,American Beauty,8.3,1999,Sam Mendes,"Kevin Spacey, Annette Bening",https://imbd.com/title/tt0169547/
67,¿Teléfono rojo? Volamos hacia Moscú,8.3,1964,Stanley Kubrick,"Peter Sellers, George C. Scott",https://imbd.com/title/tt0057012/
68,Spider-Man: Un nuevo universo,8.3,2018,Bob Persichetti,"Shameik Moore, Jake Johnson",https://imbd.com/title/tt4633694/
69,El caballero oscuro: La leyenda renace,8.3,2012,Christopher Nolan,"Christian Bale, Tom Hardy",https://imbd.com/title/tt1345836/
70,Old Boy,8.3,2003,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae",https://imbd.com/title/tt0364569/
71,Joker,8.3,2019,Todd Phillips,"Joaquin Phoenix, Robert De Niro",https://imbd.com/title/tt7286456/
72,Amadeus,8.3,1984,Milos Forman,"F. Murray Abraham, Tom Hulce",https://imbd.com/title/tt0086879/
73,Braveheart,8.3,1995,Mel Gibson,"Mel Gibson, Sophie Marceau",https://imbd.com/title/tt0112573/
74,Toy Story,8.3,1995,John Lasseter,"Tom Hanks, Tim Allen",https://imbd.com/title/tt0114709/
75,Coco,8.3,2017,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",https://imbd.com/title/tt2380307/
76,El submarino (Das Boot),8.3,1981,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",https://imbd.com/title/tt0082096/
77,Malditos bastardos,8.3,2009,Quentin Tarantino,"Brad Pitt, Diane Kruger",https://imbd.com/title/tt0361748/
78,La princesa Mononoke,8.3,1997,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",https://imbd.com/title/tt0119698/
79,Vengadores: Endgame,8.3,2019,Anthony Russo,"Robert Downey Jr., Chris Evans",https://imbd.com/title/tt4154796/
80,Érase una vez en América,8.3,1984,Sergio Leone,"Robert De Niro, James Woods",https://imbd.com/title/tt0087843/
81,El indomable Will Hunting,8.3,1997,Gus Van Sant,"Robin Williams, Matt Damon",https://imbd.com/title/tt0119217/
82,Toy Story 3,8.3,2010,Lee Unkrich,"Tom Hanks, Tim Allen",https://imbd.com/title/tt0435761/
83,Réquiem por un sueño,8.3,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto",https://imbd.com/title/tt0180093/
84,Your Name.,8.3,2016,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi",https://imbd.com/title/tt5311514/
85,Cantando bajo la lluvia,8.3,1952,Stanley Donen,"Gene Kelly, Donald O'Connor",https://imbd.com/title/tt0045152/
86,3 Idiots,8.3,2009,Rajkumar Hirani,"Aamir Khan, Madhavan",https://imbd.com/title/tt1187043/
87,El retorno del jedi,8.3,1983,Richard Marquand,"Mark Hamill, Harrison Ford",https://imbd.com/title/tt0086190/
88,2001: Una odisea del espacio,8.3,1968,Stanley Kubrick,"Keir Dullea, Gary Lockwood",https://imbd.com/title/tt0062622/
89,¡Olvídate de mí!,8.3,2004,Michel Gondry,"Jim Carrey, Kate Winslet",https://imbd.com/title/tt0338013/
90,Reservoir Dogs,8.3,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth",https://imbd.com/title/tt0105236/
91,El infierno del odio,8.3,1963,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada",https://imbd.com/title/tt0057565/
92,Cafarnaúm,8.3,2018,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw",https://imbd.com/title/tt8267604/
93,Ciudadano Kane,8.3,1941,Orson Welles,"Orson Welles, Joseph Cotten",https://imbd.com/title/tt0033467/
94,Lawrence de Arabia,8.3,1962,David Lean,"Peter O'Toole, Alec Guinness",https://imbd.com/title/tt0056172/
95,La caza,8.3,2012,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",https://imbd.com/title/tt2106476/
96,"M, el vampiro de Düsseldorf",8.3,1931,Fritz Lang,"Peter Lorre, Ellen Widmann",https://imbd.com/title/tt0022100/
97,Con la muerte en los talones,8.3,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",https://imbd.com/title/tt0053125/
98,Vértigo (De entre los muertos),8.2,1958,Alfred Hitchcock,"James Stewart, Kim Novak",https://imbd.com/title/tt0052357/
99,Amelie,8.2,2001,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",https://imbd.com/title/tt0211915/
100,Masacre (Ven y mira),8.2,1985,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",https://imbd.com/title/tt0091251/
101,La naranja mecánica,8.2,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",https://imbd.com/title/tt0066921/
102,La chaqueta metálica,8.2,1987,Stanley Kubrick,"Matthew Modine, R. Lee Ermey",https://imbd.com/title/tt0093058/
103,Perdición,8.2,1944,Billy Wilder,"Fred MacMurray, Barbara Stanwyck",https://imbd.com/title/tt0036775/
104,El apartamento,8.2,1960,Billy Wilder,"Jack Lemmon, Shirley MacLaine",https://imbd.com/title/tt0053604/
105,El precio del poder,8.2,1983,Brian De Palma,"Al Pacino, Michelle Pfeiffer",https://imbd.com/title/tt0086250/
106,Ikiru (Vivir),8.2,1952,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",https://imbd.com/title/tt0044741/
107,El golpe,8.2,1973,George Roy Hill,"Paul Newman, Robert Redford",https://imbd.com/title/tt0070735/
108,Matar a un ruiseñor,8.2,1962,Robert Mulligan,"Gregory Peck, John Megna",https://imbd.com/title/tt0056592/
